"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","sameland","signif"
"1","4-2-1","10-1-3",300,100,0.25,8,19,0.743391941675028,0.22862221081194,FALSE,FALSE
"2","4-2-1","2-1-2",300,100,0.25,16,17,1.11667914744527,0.132065768446104,FALSE,FALSE
"3","4-2-1","10-2-5",300,100,0.25,14,18,0.759737176397586,0.223705851004659,FALSE,FALSE
"4","4-2-1","6-2-6",300,100,0.25,18,11,0.404519917477945,0.342915217225803,FALSE,FALSE
"5","4-2-1","5-2-2",300,100,0.25,13,21,1.25806659369054,0.104183836763885,FALSE,FALSE
"6","4-2-1","7-1-1",300,100,0.25,13,18,-0.520416499866533,0.698613343817052,FALSE,FALSE
"7","4-2-1","3-1-5",300,100,0.25,23,23,-1.79048821478925,0.963312269915502,FALSE,FALSE
"8","4-2-1","2-2-3",300,100,0.25,19,8,0.584093668458951,0.279578647195479,FALSE,FALSE
"9","4-2-1","8-1-4",300,100,0.25,20,24,-3.48839345385364,0.999757033777796,FALSE,FALSE
"10","4-2-1","1-1-5",300,100,0.25,18,13,-0.280224269158903,0.610347275914448,FALSE,FALSE
"11","4-2-1","7-2-2",300,100,0.25,7,22,-2.14051820403803,0.983843544378378,FALSE,FALSE
"12","4-2-1","4-1-3",300,100,0.25,24,4,1.11610467930764,0.132188664714448,TRUE,FALSE
"13","4-2-1","4-1-2",300,100,0.25,15,12,0.195180014589707,0.422626012109826,FALSE,FALSE
"14","4-2-1","3-2-5",300,100,0.25,14,14,0.5973198408382,0.275146930128017,FALSE,FALSE
"15","4-2-1","2-1-3",300,100,0.25,3,21,-0.392792202424786,0.652763517839849,FALSE,FALSE
"16","4-2-1","1-1-3",300,100,0.25,24,22,0.813629069697054,0.207928739698626,FALSE,FALSE
"17","4-2-1","8-2-5",300,100,0.25,6,21,-0.408248290463863,0.658454300845196,FALSE,FALSE
"18","4-2-1","5-1-2",300,100,0.25,11,14,-0.109489780290272,0.543592986407962,FALSE,FALSE
"19","4-2-1","6-1-6",300,100,0.25,11,16,-1.03627391956164,0.849962815113213,FALSE,FALSE
"20","4-2-1","1-1-4",300,100,0.25,14,14,1.65411648232117,0.0490519238924245,FALSE,TRUE
"21","4-2-1","3-1-1",300,100,0.25,16,17,-0.540328619731583,0.705514787727887,FALSE,FALSE
"22","4-2-1","6-2-4",300,100,0.25,17,21,-1.1596349796077,0.876901273508252,FALSE,FALSE
"23","4-2-1","9-2-2",300,100,0.25,21,18,-0.478920744346159,0.684002493660405,FALSE,FALSE
"24","4-2-1","4-1-4",300,100,0.25,13,17,0.732405653420203,0.231960504588936,FALSE,FALSE
"25","4-2-1","7-2-3",300,100,0.25,13,21,-1.82508252324121,0.966005711451943,FALSE,FALSE
