"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","x","sameland","signif"
"56","4-2-1","10-2-4",300,120,0.25,16,16,-1.62062347710548,0.947450792963076,NA,FALSE,FALSE
"57","4-2-1","10-1-2",300,120,0.25,10,18,0.958926602970768,0.168797860922041,NA,FALSE,FALSE
"58","4-2-1","7-1-2",300,120,0.25,12,12,-0.923760430703401,0.822194469452381,NA,FALSE,FALSE
"59","4-2-1","6-2-2",300,120,0.25,17,3,-1.4289915348674,0.9234966667518,NA,FALSE,FALSE
"60","4-2-1","9-1-2",300,120,0.25,19,8,-0.159298273216077,0.563283059418977,NA,FALSE,FALSE
"61","4-2-1","5-1-4",300,120,0.25,14,16,1.70439253608161,0.0441538887069646,NA,FALSE,TRUE
"62","4-2-1","4-2-5",300,120,0.25,20,7,-0.995910003310479,0.840353062759984,NA,FALSE,FALSE
"63","4-2-1","5-1-1",300,120,0.25,13,15,-0.483686111690123,0.685695674428251,NA,FALSE,FALSE
"64","4-2-1","4-1-1",300,120,0.25,7,14,-0.149209419390598,0.559305806200434,NA,FALSE,FALSE
"65","4-2-1","10-2-6",300,120,0.25,13,11,-0.95595300817883,0.830452011862318,NA,FALSE,FALSE
"66","4-2-1","1-1-2",300,120,0.25,15,11,1.06394855702075,0.143676002202865,NA,FALSE,FALSE
"67","4-2-1","6-2-5",300,120,0.25,13,13,-1.1025641025641,0.864891746746014,NA,FALSE,FALSE
"68","4-2-1","3-2-1",300,120,0.25,10,14,1.05397207878442,0.145947850297107,NA,FALSE,FALSE
"69","4-2-1","3-2-2",300,120,0.25,11,16,0.0493463771219827,0.480321630456598,NA,FALSE,FALSE
"70","4-2-1","5-2-3",300,120,0.25,17,13,0.146481130684041,0.441770792387969,NA,FALSE,FALSE
"71","4-2-1","10-1-6",300,120,0.25,9,18,2.05737799949456,0.0198249398600764,NA,FALSE,TRUE
"72","4-2-1","7-2-6",300,120,0.25,3,17,-0.264628062012482,0.604351999894265,NA,FALSE,FALSE
"73","4-2-1","2-2-5",300,120,0.25,15,7,-0.387699057267633,0.650880623239932,NA,FALSE,FALSE
"74","4-2-1","10-2-3",300,120,0.25,17,8,-0.116510345607093,0.54637595633486,NA,FALSE,FALSE
"75","4-2-1","4-2-3",300,120,0.25,11,14,-0.875918242322174,0.809462759195353,NA,FALSE,FALSE
"76","4-2-1","4-2-4",300,120,0.25,8,14,-0.0682523632789935,0.527207627876566,NA,FALSE,FALSE
"77","4-2-1","1-2-5",300,120,0.25,17,15,0.623085302440723,0.26661423377624,NA,FALSE,FALSE
"78","4-2-1","1-1-6",300,120,0.25,12,14,-1.44016459964619,0.925089581966554,NA,FALSE,FALSE
"79","4-2-1","1-1-1",300,120,0.25,5,20,-1.35873244097352,0.912884305875987,NA,FALSE,FALSE
"80","4-2-1","3-2-6",300,120,0.25,2,17,1.06273786264811,0.143950422652917,NA,FALSE,FALSE
"81","4-2-1","6-2-3",300,120,0.25,20,17,-2.07237468670732,0.980884743924564,NA,FALSE,FALSE
"82","4-2-1","2-1-4",300,120,0.25,19,20,1.57346416345725,0.0578056900042903,NA,FALSE,FALSE
"83","4-2-1","9-1-5",300,120,0.25,9,18,1.13155789972201,0.128910174150424,NA,FALSE,FALSE
"84","4-2-1","2-2-1",300,120,0.25,20,13,0,0.5,NA,FALSE,FALSE
"85","4-2-1","7-2-4",300,120,0.25,11,9,-1.02564518813674,0.847470570369161,NA,FALSE,FALSE
"86","4-2-1","9-2-4",300,120,0.25,8,18,-0.944444444444444,0.827528710585692,NA,FALSE,FALSE
"87","4-2-1","6-1-3",300,120,0.25,20,17,-0.944759048351866,0.827609048337698,NA,FALSE,FALSE
"88","4-2-1","3-1-6",300,120,0.25,3,17,-0.264628062012482,0.604351999894265,NA,FALSE,FALSE
"89","4-2-1","10-1-4",300,120,0.25,7,20,0.497955001655239,0.309257879445651,NA,FALSE,FALSE
"90","4-2-1","6-1-4",300,120,0.25,13,11,-0.840079916278366,0.799568210021581,NA,FALSE,FALSE
"91","4-2-1","7-2-1",300,120,0.25,15,7,0.599171270322705,0.274529339504339,NA,FALSE,FALSE
"92","4-2-1","7-1-4",300,120,0.25,17,20,-0.121904393335725,0.548512631898867,NA,FALSE,FALSE
"93","4-2-1","10-1-5",300,120,0.25,16,9,-0.622752368779528,0.733276368423706,NA,FALSE,FALSE
"94","4-2-1","8-2-4",300,120,0.25,14,16,1.49653978777897,0.0672565237955223,NA,FALSE,FALSE
"95",NA,NA,300,120,0.25,NA,NA,NA,NA,NA,FALSE,NA
"96","4-2-1","2-2-4",300,120,0.25,13,14,1.89252018564168,0.0292108533803088,NA,FALSE,TRUE
"97","4-2-1","2-1-1",300,120,0.25,19,8,-0.63719309286431,0.738000461882642,NA,FALSE,FALSE
"98","4-2-1","5-2-1",300,120,0.25,11,16,-0.148039131365948,0.558844056949989,NA,FALSE,FALSE
"99","4-2-1","4-1-6",300,120,0.25,3,19,0.334855411264458,0.36886707941167,NA,FALSE,FALSE
"100","4-2-1","9-1-6",300,120,0.25,19,5,-2.23907875792937,0.987424603930284,NA,FALSE,FALSE
"101","4-2-1","2-1-6",300,120,0.25,14,14,-1.1946396816764,0.883886080798632,NA,FALSE,FALSE
"102","4-2-1","2-1-5",300,120,0.25,20,13,0.257906644164264,0.39823947849518,NA,FALSE,FALSE
"103","4-2-1","8-2-1",300,120,0.25,16,9,-1.35873244097351,0.912884305875987,NA,FALSE,FALSE
"104","4-2-1","6-1-2",300,120,0.25,17,10,2.15901471458977,0.0154245126894038,NA,FALSE,TRUE
"105","4-2-1","3-1-3",300,120,0.25,20,18,2.48499772136992,0.00647761319404005,NA,FALSE,TRUE
"106","4-2-1","8-2-6",300,120,0.25,17,3,0.0529256124024963,0.478895588622519,NA,FALSE,FALSE
"107","4-2-1","3-1-4",300,120,0.25,17,3,0.264628062012482,0.395648000105735,NA,FALSE,FALSE
"108","4-2-1","1-2-2",300,120,0.25,12,12,1.03923048454133,0.149348777997485,NA,FALSE,FALSE
"109","4-2-1","4-2-6",300,120,0.25,11,9,1.48148749397529,0.0692383575160586,NA,FALSE,FALSE
"110","4-2-1","4-1-5",300,120,0.25,12,13,0.217571317288168,0.413881567302457,NA,FALSE,FALSE
"111","4-2-1","8-1-5",300,120,0.25,5,20,0.679366220486758,0.248452923782384,NA,FALSE,FALSE
"112","4-2-1","4-2-2",300,120,0.25,11,16,-0.444117394097844,0.671521144340175,NA,FALSE,FALSE
"113","4-2-1","1-2-3",300,120,0.25,13,15,0.253359391837683,0.399995252359172,NA,FALSE,FALSE
"114","4-2-1","5-2-6",300,120,0.25,18,9,0.462910049886276,0.32171442178181,NA,FALSE,FALSE
"115","4-2-1","9-2-6",300,120,0.25,9,18,0.154303349962092,0.438685278032072,NA,FALSE,FALSE
"116","4-2-1","8-1-2",300,120,0.25,14,16,-1.74596308574213,0.959591316767067,NA,FALSE,FALSE
"117","4-2-1","1-2-6",300,120,0.25,15,11,0.337349542469993,0.367926708360436,NA,FALSE,FALSE
"118","4-2-1","1-2-4",300,120,0.25,8,19,-1.85847985418757,0.968449549177417,NA,FALSE,FALSE
"119","4-2-1","5-1-6",300,120,0.25,19,7,-0.317940322158844,0.624734897171056,NA,FALSE,FALSE
"120","10-1-3","2-1-2",300,120,0.25,10,15,1.05393037282794,0.145957397983222,NA,FALSE,FALSE
"121","10-1-3","10-2-5",300,120,0.25,13,13,-0.487179487179487,0.686934429665454,NA,FALSE,FALSE
"122","10-1-3","6-2-6",300,120,0.25,13,20,2.50537882902428,0.00611601511916815,NA,FALSE,TRUE
"123","10-1-3","5-2-2",300,120,0.25,8,19,-0.902690214891106,0.816654834414712,NA,FALSE,FALSE
"124","10-1-3","7-1-1",300,120,0.25,17,14,1.23052048835804,0.109251129763076,NA,FALSE,FALSE
"125","10-1-3","3-1-5",300,120,0.25,17,8,-1.28161380167802,0.900010921902029,NA,FALSE,FALSE
"126","10-1-3","2-2-3",300,120,0.25,12,21,-0.673633069708608,0.749727688377834,NA,FALSE,FALSE
"127","10-1-3","8-1-4",300,120,0.25,19,12,0.446108908109597,0.327759289183813,NA,FALSE,FALSE
"128","10-1-3","1-1-5",300,120,0.25,16,15,0.0395284707521047,0.48423452743606,NA,FALSE,FALSE
"129","10-1-3","7-2-2",300,120,0.25,13,14,0.436735427455773,0.331151616633841,NA,FALSE,FALSE
"130","10-1-3","4-1-3",300,120,0.25,7,16,-0.33407655239053,0.63083910345916,NA,FALSE,FALSE
"131","10-1-3","4-1-2",300,120,0.25,18,13,0.600480576769077,0.274093000838852,NA,FALSE,FALSE
"132","10-1-3","3-2-5",300,120,0.25,13,8,0.434524094626741,0.331953950938825,NA,FALSE,FALSE
"133","10-1-3","2-1-3",300,120,0.25,21,20,-0.0521640530957301,0.5208010123038,NA,FALSE,FALSE
"134","10-1-3","1-1-3",300,120,0.25,19,14,-0.400684950925631,0.655673954011883,NA,FALSE,FALSE
"135","10-1-3","8-2-5",300,120,0.25,17,10,-0.15062893357603,0.559865781947571,NA,FALSE,FALSE
"136","10-1-3","5-1-2",300,120,0.25,19,14,1.74844342222093,0.0401936372467431,NA,FALSE,TRUE
"137","10-1-3","6-1-6",300,120,0.25,11,14,0.164234670435408,0.43477320429864,NA,FALSE,FALSE
"138","10-1-3","1-1-4",300,120,0.25,12,16,-0.371390676354104,0.644826715502217,NA,FALSE,FALSE
"139","10-1-3","3-1-1",300,120,0.25,17,16,0.468284803767372,0.319790467046675,NA,FALSE,FALSE
"140","10-1-3","6-2-4",300,120,0.25,19,10,-0.596480908063461,0.724572997792377,NA,FALSE,FALSE
"141","10-1-3","9-2-2",300,120,0.25,18,15,-0.144620305212437,0.557494667731707,NA,FALSE,FALSE
"142","10-1-3","4-1-4",300,120,0.25,4,17,1.07474658124776,0.141244101272034,NA,FALSE,FALSE
"143","10-1-3","7-2-3",300,120,0.25,19,16,-0.496699633899392,0.690299559678265,NA,FALSE,FALSE
"144","10-1-3","10-1-1",300,120,0.25,15,6,0.389249472080761,0.348545805002982,NA,FALSE,FALSE
"145","10-1-3","10-2-1",300,120,0.25,9,12,-1.84773954174862,0.967679984617683,NA,FALSE,FALSE
"146","10-1-3","1-2-1",300,120,0.25,19,12,0,0.5,NA,FALSE,FALSE
"147","10-1-3","5-1-3",300,120,0.25,17,7,-1.55601300463339,0.940147499998821,NA,FALSE,FALSE
