"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","sameland","signif"
"1","4-2-1","10-1-3",350,120,0.25,14,11,-0.93066313246731,0.823986076912516,FALSE,FALSE
"2","4-2-1","2-1-2",350,120,0.25,13,9,-1.76961849272957,0.961604641950448,FALSE,FALSE
"3","4-2-1","10-2-5",350,120,0.25,14,12,0.822951199797823,0.205267872584861,FALSE,FALSE
"4","4-2-1","6-2-6",350,120,0.25,9,14,0.314970394174356,0.376392066324924,FALSE,FALSE
"5","4-2-1","5-2-2",350,120,0.25,10,17,0.652725378829464,0.256966669057373,FALSE,FALSE
"6","4-2-1","7-1-1",350,120,0.25,9,18,-0.874385649785188,0.809045865180464,FALSE,FALSE
"7","4-2-1","3-1-5",350,120,0.25,14,14,0.505424480709246,0.306630364039215,FALSE,FALSE
"8","4-2-1","2-2-3",350,120,0.25,16,6,0.0737209780774486,0.470616203057875,FALSE,FALSE
"9","4-2-1","8-1-4",350,120,0.25,16,19,-1.75500537311118,0.960370805652042,FALSE,FALSE
"10","4-2-1","1-1-5",350,120,0.25,14,11,1.25913247333813,0.103991243447066,FALSE,FALSE
"11","4-2-1","7-2-2",350,120,0.25,5,17,-1.37105630680123,0.914821297955289,FALSE,FALSE
"12","4-2-1","4-1-3",350,120,0.25,19,2,2.27636073191798,0.0114122139627805,TRUE,TRUE
"13","4-2-1","4-1-2",350,120,0.25,12,14,0.617213399848368,0.268546989221321,FALSE,FALSE
"14","4-2-1","3-2-5",350,120,0.25,12,12,-2.13619599600162,0.983668279157544,FALSE,FALSE
"15","4-2-1","2-1-3",350,120,0.25,8,11,-0.908295106229248,0.818138836309644,FALSE,FALSE
"16","4-2-1","1-1-3",350,120,0.25,20,18,0.263117405792109,0.396230044304018,FALSE,FALSE
"17","4-2-1","8-2-5",350,120,0.25,4,17,-1.16430879635174,0.877850553466096,FALSE,FALSE
"18","4-2-1","5-1-2",350,120,0.25,8,18,1.72222222222222,0.04251463539044,FALSE,TRUE
"19","4-2-1","6-1-6",350,120,0.25,9,12,-0.639602149066831,0.738784357519218,FALSE,FALSE
"20","4-2-1","1-1-4",350,120,0.25,5,17,1.29271023212688,0.0980556487644875,FALSE,FALSE
"21","4-2-1","3-1-1",350,120,0.25,12,12,-0.692820323027551,0.755788841688703,FALSE,FALSE
"22","4-2-1","6-2-4",350,120,0.25,14,18,-0.455842305838552,0.675748310173512,FALSE,FALSE
"23","4-2-1","9-2-2",350,120,0.25,16,20,0.636714539967013,0.262155400449592,FALSE,FALSE
"24","4-2-1","4-1-4",350,120,0.25,19,19,0.277350098112615,0.390755647499357,FALSE,FALSE
"25","4-2-1","7-2-3",350,120,0.25,10,18,-1.29455091401054,0.902262402603084,FALSE,FALSE
"26","4-2-1","10-1-1",350,120,0.25,13,10,-0.682191040240646,0.752440920298896,FALSE,FALSE
"27","4-2-1","10-2-1",350,120,0.25,13,10,0,0.5,FALSE,FALSE
"28","4-2-1","1-2-1",350,120,0.25,18,16,0.89708522714506,0.184836720485276,FALSE,FALSE
"29","4-2-1","5-1-3",350,120,0.25,2,20,0.114208048144032,0.454536436080071,FALSE,FALSE
"30","4-2-1","3-1-2",350,120,0.25,10,15,0.332820117735137,0.369635035699665,FALSE,FALSE
"31","4-2-1","2-2-2",350,120,0.25,10,13,-0.310086836473021,0.621752538893174,FALSE,FALSE
"32","4-2-1","8-1-3",350,120,0.25,8,15,-0.0645497224367903,0.525733741574678,FALSE,FALSE
"33","4-2-1","2-2-6",350,120,0.25,14,15,-0.480079358519183,0.684414517481363,FALSE,FALSE
"34","4-2-1","10-2-2",350,120,0.25,13,13,0.0256410256410256,0.489771831543566,FALSE,FALSE
"35","4-2-1","7-1-6",350,120,0.25,4,17,0.716497720831838,0.236842037163498,FALSE,FALSE
"36","4-2-1","8-1-6",350,120,0.25,18,1,-0.730296743340221,0.767395590773929,FALSE,FALSE
"37","4-2-1","7-2-5",350,120,0.25,8,7,0.115727512471569,0.453934250474768,FALSE,FALSE
"38","4-2-1","8-2-2",350,120,0.25,17,11,-2.32849880689511,0.990057183736332,FALSE,FALSE
"39","4-2-1","6-1-5",350,120,0.25,13,15,-0.76007817551305,0.776396071371966,FALSE,FALSE
"40","4-2-1","6-1-1",350,120,0.25,6,18,-0.0666666666666667,0.526576464300365,FALSE,FALSE
"41","4-2-1","7-1-5",350,120,0.25,13,15,-0.852208863454025,0.80295091096333,FALSE,FALSE
"42","4-2-1","3-2-3",350,120,0.25,11,9,-0.417855447018673,0.661973595717827,FALSE,FALSE
"43","4-2-1","6-2-1",350,120,0.25,13,9,0.367279309811798,0.356705342843547,FALSE,FALSE
"44","4-2-1","9-2-5",350,120,0.25,3,20,2.73861278752583,0.00308494966027206,FALSE,TRUE
"45","4-2-1","9-1-3",350,120,0.25,15,17,1.86925590732217,0.0307936097046797,FALSE,TRUE
"46","4-2-1","7-1-3",350,120,0.25,3,15,2.07322107215682,0.0190758550867076,FALSE,TRUE
"47","4-2-1","9-2-1",350,120,0.25,15,8,-1.48464361604618,0.931180872445909,FALSE,FALSE
"48","4-2-1","3-2-4",350,120,0.25,2,19,0.958467676597046,0.168913491583029,FALSE,FALSE
"49","4-2-1","5-2-5",350,120,0.25,18,8,0.444444444444444,0.328360643281885,FALSE,FALSE
"50","4-2-1","9-1-1",350,120,0.25,3,19,-0.71754730985241,0.763481772135216,FALSE,FALSE
"51","4-2-1","5-2-4",350,120,0.25,12,16,-0.139271503632789,0.555382196396837,FALSE,FALSE
"52","4-2-1","5-1-5",350,120,0.25,12,14,1.90307464953247,0.0285154026347,FALSE,TRUE
"53","4-2-1","9-1-4",350,120,0.25,18,6,-0.533333333333333,0.703098571396149,FALSE,FALSE
"54","4-2-1","8-2-3",350,120,0.25,2,17,1.59410679397217,0.0554560587432944,FALSE,FALSE
"55","4-2-1","8-1-1",350,120,0.25,14,16,0,0.5,FALSE,FALSE
"56","4-2-1","10-2-4",350,120,0.25,16,15,-0.474341649025257,0.682371852001376,FALSE,FALSE
"57","4-2-1","10-1-2",350,120,0.25,9,16,0.169841555121689,0.432567372702723,FALSE,FALSE
"58","4-2-1","7-1-2",350,120,0.25,17,5,1.13601808277816,0.12797449822124,FALSE,FALSE
"59","4-2-1","6-2-2",350,120,0.25,17,3,1.53484275967239,0.0624112283051568,FALSE,FALSE
"60","4-2-1","9-1-2",350,120,0.25,12,14,-0.617213399848368,0.731453010778679,FALSE,FALSE
"61","4-2-1","5-1-4",350,120,0.25,18,8,0.0555555555555556,0.477847935658218,FALSE,FALSE
"62","4-2-1","4-2-5",350,120,0.25,11,16,-1.23365942804957,0.891335080883973,FALSE,FALSE
"63","4-2-1","5-1-1",350,120,0.25,10,16,0.737864787372622,0.230298309352386,FALSE,FALSE
"64","4-2-1","4-1-1",350,120,0.25,7,14,-1.49209419390598,0.932162773115768,FALSE,FALSE
"65","4-2-1","10-2-6",350,120,0.25,13,11,-2.46230320288486,0.993097604546223,FALSE,FALSE
"66","4-2-1","1-1-2",350,120,0.25,15,11,0.493049331302298,0.310988865574363,FALSE,FALSE
"67","4-2-1","6-2-5",350,120,0.25,6,18,1.6,0.054799291699558,FALSE,FALSE
"68","4-2-1","3-2-1",350,120,0.25,9,12,1.49240501448927,0.067796500633151,FALSE,FALSE
"69","4-2-1","3-2-2",350,120,0.25,11,16,0.592156525463792,0.276872889206014,FALSE,FALSE
"70","4-2-1","5-2-3",350,120,0.25,16,13,-0.701646415445623,0.758550151109904,FALSE,FALSE
"71","4-2-1","10-1-6",350,120,0.25,17,15,-0.585322556838255,0.7208345747802,FALSE,FALSE
"72","4-2-1","7-2-6",350,120,0.25,3,17,-0.476330511622467,0.683080534308121,FALSE,FALSE
"73","4-2-1","2-2-5",350,120,0.25,15,7,-0.528680532637681,0.701486458016945,FALSE,FALSE
"74","4-2-1","10-2-3",350,120,0.25,17,9,-0.0808452083454443,0.53221747267425,FALSE,FALSE
"75","4-2-1","4-2-3",350,120,0.25,11,14,-0.383214231015951,0.64921953642509,FALSE,FALSE
"76","4-2-1","4-2-4",350,120,0.25,8,14,1.22854253902188,0.109621685391189,FALSE,FALSE
"77","4-2-1","1-2-5",350,120,0.25,12,7,-0.253546276418555,0.600076947168763,FALSE,FALSE
"78","4-2-1","1-1-6",350,120,0.25,10,13,-0.744208407535251,0.771624798788415,FALSE,FALSE
"79","4-2-1","1-1-1",350,120,0.25,5,19,-0.0355409326655456,0.514175796284213,FALSE,FALSE
"80","4-2-1","3-2-6",350,120,0.25,2,17,-0.132842232831014,0.552840923319912,FALSE,FALSE
"81","4-2-1","6-2-3",350,120,0.25,20,16,1.71912925791094,0.0427954191912854,FALSE,TRUE
"82","4-2-1","2-1-4",350,120,0.25,14,15,-0.741940826802374,0.770938405882292,FALSE,FALSE
"83","4-2-1","9-1-5",350,120,0.25,8,18,0.777777777777778,0.218350015361379,FALSE,FALSE
"84","4-2-1","2-2-1",350,120,0.25,20,13,0.0736876126183612,0.470629477844731,FALSE,FALSE
"85","4-2-1","7-2-4",350,120,0.25,13,9,2.70451128134142,0.00342024734579782,FALSE,TRUE
"86","4-2-1","9-2-4",350,120,0.25,7,16,0.868599036215379,0.192533240914241,FALSE,FALSE
"87","4-2-1","6-1-3",350,120,0.25,19,18,-2.27901422048537,0.988666890007725,FALSE,FALSE
"88","4-2-1","3-1-6",350,120,0.25,18,18,-0.854242196177249,0.803514596185522,FALSE,FALSE
"89","4-2-1","10-1-4",350,120,0.25,20,20,-2.51565828072214,0.994059484225164,FALSE,FALSE
"90","4-2-1","6-1-4",350,120,0.25,13,11,-1.18769919197976,0.882524028878617,FALSE,FALSE
"91","4-2-1","7-2-1",350,120,0.25,13,16,1.27173412799519,0.101733800228531,FALSE,FALSE
"92","4-2-1","7-1-4",350,120,0.25,2,19,1.79712689361946,0.0361577385573715,FALSE,TRUE
"93","4-2-1","10-1-5",350,120,0.25,16,8,-1.10227038425243,0.86482792967261,FALSE,FALSE
"94","4-2-1","8-2-4",350,120,0.25,14,15,0.480079358519183,0.315585482518637,FALSE,FALSE
"95","4-2-1","2-2-4",350,120,0.25,13,14,0.145578475818591,0.442127080374018,FALSE,FALSE
"96","4-2-1","2-1-1",350,120,0.25,19,7,0.664784309968492,0.25309422973877,FALSE,FALSE
"97","4-2-1","5-2-1",350,120,0.25,11,15,-0.181649753637689,0.572071199707609,FALSE,FALSE
"98","4-2-1","4-1-6",350,120,0.25,11,14,-0.547448901451359,0.707964816527247,FALSE,FALSE
"99","4-2-1","9-1-6",350,120,0.25,19,4,-1.21666065848072,0.888133323325193,FALSE,FALSE
"100","4-2-1","2-1-6",350,120,0.25,14,14,-1.14869200161192,0.874658497441949,FALSE,FALSE
"101","4-2-1","2-1-5",350,120,0.25,20,13,0.0736876126183612,0.470629477844731,FALSE,FALSE
"102","4-2-1","8-2-1",350,120,0.25,15,9,2.77272429209974,0.00277945981353522,FALSE,TRUE
"103","4-2-1","6-1-2",350,120,0.25,3,19,0.813220284499398,0.208045885747903,FALSE,FALSE
"104","4-2-1","3-1-3",350,120,0.25,1,18,-0.547722557505166,0.708058789614817,FALSE,FALSE
"105","4-2-1","8-2-6",350,120,0.25,16,3,-0.559016994374948,0.711924938984711,FALSE,FALSE
"106","4-2-1","3-1-4",350,120,0.25,12,13,1.08785658644084,0.138329212054433,FALSE,FALSE
"107","4-2-1","1-2-2",350,120,0.25,12,12,0.635085296108588,0.262686393186851,FALSE,FALSE
"108","4-2-1","4-2-6",350,120,0.25,12,14,0,0.5,FALSE,FALSE
"109","4-2-1","4-1-5",350,120,0.25,17,14,0.277859465113106,0.390560120587062,FALSE,FALSE
"110","4-2-1","8-1-5",350,120,0.25,4,19,0.405553552826906,0.342535331159038,FALSE,FALSE
"111","4-2-1","4-2-2",350,120,0.25,19,19,-0.218960603773117,0.586659631643987,FALSE,FALSE
"112","4-2-1","1-2-3",350,120,0.25,17,10,0.351467511677404,0.362618820826774,FALSE,FALSE
"113","4-2-1","5-2-6",350,120,0.25,17,13,-0.230184633932064,0.591025849178892,FALSE,FALSE
"114","4-2-1","9-2-6",350,120,0.25,17,5,0.82263378408074,0.205358140316298,FALSE,FALSE
"115","4-2-1","8-1-2",350,120,0.25,18,4,-0.255376959227625,0.600784017595678,FALSE,FALSE
"116","4-2-1","1-2-6",350,120,0.25,7,17,-1.4925022697504,0.932216238665661,FALSE,FALSE
"117","4-2-1","1-2-4",350,120,0.25,11,13,0.260714456776044,0.397156358316861,FALSE,FALSE
"118","4-2-1","5-1-6",350,120,0.25,19,6,0.254513905190311,0.399549281461265,FALSE,FALSE
"119","10-1-3","2-1-2",350,120,0.25,10,15,1.10940039245046,0.133628746577194,FALSE,FALSE
