"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","sameland","signif"
"1","4-2-1","10-1-3",120,30,0.25,82,33,1.58284248122196,0.0567286857169416,FALSE,FALSE
"2","4-2-1","2-1-2",120,30,0.25,75,86,-0.650660566752447,0.742367188186178,FALSE,FALSE
"3","4-2-1","10-2-5",120,30,0.25,59,30,-1.76188992860715,0.960956051713075,FALSE,FALSE
"4","4-2-1","6-2-6",120,30,0.25,87,37,-1.29699631488302,0.902683772621188,FALSE,FALSE
"5","4-2-1","5-2-2",120,30,0.25,84,29,0.979458013481357,0.163676862269059,FALSE,FALSE
"6","4-2-1","7-1-1",120,30,0.25,59,50,-1.37433216727589,0.915330707847607,FALSE,FALSE
"7","4-2-1","3-1-5",120,30,0.25,78,67,0.590902409444287,0.277292905751793,FALSE,FALSE
"8","4-2-1","2-2-3",120,30,0.25,50,77,1.4162410234009,0.0783524743262543,FALSE,FALSE
"9","4-2-1","8-1-4",120,30,0.25,18,86,-0.97093227719318,0.834208998133069,FALSE,FALSE
"10","4-2-1","1-1-5",120,30,0.25,67,58,0.326736677025278,0.371933528580468,FALSE,FALSE
"11","4-2-1","7-2-2",120,30,0.25,24,88,1.12037015489986,0.131278028801996,FALSE,FALSE
"12","4-2-1","4-1-3",120,30,0.25,34,87,0.617014543127107,0.268612566626975,TRUE,FALSE
"13","4-2-1","4-1-2",120,30,0.25,81,33,-1.75256885301008,0.96016197921263,FALSE,FALSE
"14","4-2-1","3-2-5",120,30,0.25,62,71,-1.02836681038609,0.848111342702183,FALSE,FALSE
"15","4-2-1","2-1-3",120,30,0.25,80,67,0.610628433256601,0.270722797367349,FALSE,FALSE
"16","4-2-1","1-1-3",120,30,0.25,18,87,-1.4454089278964,0.925828471421018,FALSE,FALSE
"17","4-2-1","8-2-5",120,30,0.25,16,79,-0.755779419966943,0.775109271160333,FALSE,FALSE
"18","4-2-1","5-1-2",120,30,0.25,84,43,1.12081632566643,0.131183026737087,FALSE,FALSE
"19","4-2-1","6-1-6",120,30,0.25,46,63,0.104302330253774,0.458464714363381,FALSE,FALSE
"20","4-2-1","1-1-4",120,30,0.25,54,65,-0.240192230707631,0.594909381794763,FALSE,FALSE
"21","4-2-1","3-1-1",120,30,0.25,50,73,-0.957737058890697,0.83090231769728,FALSE,FALSE
"22","4-2-1","6-2-4",120,30,0.25,18,87,-0.0170048109164282,0.506783611114324,FALSE,FALSE
"23","4-2-1","9-2-2",120,30,0.25,81,65,0.895806416477617,0.185178081174047,FALSE,FALSE
"24","4-2-1","4-1-4",120,30,0.25,26,81,-0.130744090092123,0.552011123583546,FALSE,FALSE
"25","4-2-1","7-2-3",120,30,0.25,89,80,0.0377839546721561,0.484929968776949,FALSE,FALSE
"26","4-2-1","10-1-1",120,30,0.25,51,60,1.82251711307493,0.0341882797621866,FALSE,TRUE
"27","4-2-1","10-2-1",120,30,0.25,33,88,2.40942128600995,0.00798892114454519,FALSE,TRUE
"28","4-2-1","1-2-1",120,30,0.25,44,65,-0.284098601294462,0.611832590585086,FALSE,FALSE
"29","4-2-1","5-1-3",120,30,0.25,86,73,1.26503068901675,0.102930163459966,FALSE,FALSE
"30","4-2-1","3-1-2",120,30,0.25,53,75,1.4295017343203,0.0764300384060407,FALSE,FALSE
"31","4-2-1","2-2-2",120,30,0.25,78,67,-1.47923891760214,0.930461764197888,FALSE,FALSE
"32","4-2-1","8-1-3",120,30,0.25,46,73,0.518421804481182,0.302082002379819,FALSE,FALSE
"33","4-2-1","2-2-6",120,30,0.25,73,58,-1.23719880526732,0.891993357514306,FALSE,FALSE
"34","4-2-1","10-2-2",120,30,0.25,45,71,-1.39662298283737,0.918736512353546,FALSE,FALSE
"35","4-2-1","7-1-6",120,30,0.25,76,19,0.0279121097836795,0.488866124998306,FALSE,FALSE
"36","4-2-1","8-1-6",120,30,0.25,89,83,-0.0842686847874022,0.533578595131217,FALSE,FALSE
"37","4-2-1","7-2-5",120,30,0.25,36,46,-0.878312905705176,0.810113032989954,FALSE,FALSE
"38","4-2-1","8-2-2",120,30,0.25,55,64,0.0906103044511344,0.46390112192471,FALSE,FALSE
"39","4-2-1","6-1-5",120,30,0.25,62,75,0.246490087536714,0.402651438389193,FALSE,FALSE
"40","4-2-1","6-1-1",120,30,0.25,54,41,0,0.5,FALSE,FALSE
"41","4-2-1","7-1-5",120,30,0.25,16,73,0.908169416737712,0.181894359812254,FALSE,FALSE
"42","4-2-1","3-2-3",120,30,0.25,51,77,1.02451286764691,0.15279654810935,FALSE,FALSE
"43","4-2-1","6-2-1",120,30,0.25,85,89,-0.0376337196649624,0.515010138724144,FALSE,FALSE
"44","4-2-1","9-2-5",120,30,0.25,51,61,-2.71970049960545,0.996732946565161,FALSE,FALSE
"45","4-2-1","9-1-3",120,30,0.25,81,88,0.966096908329808,0.16699784571821,FALSE,FALSE
"46","4-2-1","7-1-3",120,30,0.25,68,67,-1.34223682726248,0.910240390426917,FALSE,FALSE
"47","4-2-1","9-2-1",120,30,0.25,64,62,1.43954401012054,0.0749982250268043,FALSE,FALSE
"48","4-2-1","3-2-4",120,30,0.25,22,89,0.850693487971528,0.197469820770443,FALSE,FALSE
"49","4-2-1","5-2-5",120,30,0.25,45,68,-1.34897940756576,0.911328209765498,FALSE,FALSE
"50","4-2-1","9-1-1",120,30,0.25,47,58,-0.476877118215411,0.683275186667308,FALSE,FALSE
"51","4-2-1","5-2-4",120,30,0.25,65,56,1.62186465676739,0.0524161652913268,FALSE,FALSE
"52","4-2-1","5-1-5",120,30,0.25,65,48,0.139403007071465,0.444565848131808,FALSE,FALSE
"53","4-2-1","9-1-4",120,30,0.25,70,58,0.914252419487705,0.180292112868492,FALSE,FALSE
"54","4-2-1","8-2-3",120,30,0.25,17,87,-1.90313583639845,0.971488588554544,FALSE,FALSE
"55","4-2-1","8-1-1",120,30,0.25,66,49,1.69673053385335,0.044873808598122,FALSE,TRUE
"56","4-2-1","10-2-4",120,30,0.25,75,51,-0.678431015572126,0.751250775331352,FALSE,FALSE
"57","4-2-1","10-1-2",120,30,0.25,41,53,0.468893349481187,0.319572935120144,FALSE,FALSE
"58","4-2-1","7-1-2",120,30,0.25,73,73,-1.82191780821918,0.965766271108002,FALSE,FALSE
"59","4-2-1","6-2-2",120,30,0.25,30,85,0.719730623487285,0.235845433719727,FALSE,FALSE
"60","4-2-1","9-1-2",120,30,0.25,65,56,0.400267880035541,0.344479611457786,FALSE,FALSE
"61","4-2-1","5-1-4",120,30,0.25,44,71,0.0460358432668727,0.481640840693417,FALSE,FALSE
"62","4-2-1","4-2-5",120,30,0.25,88,81,0.76784249391685,0.22129038265876,FALSE,FALSE
"63","4-2-1","5-1-1",120,30,0.25,77,66,1.25531795443715,0.104681679962164,FALSE,FALSE
"64","4-2-1","4-1-1",120,30,0.25,53,54,-1.74462447939747,0.959474871571705,FALSE,FALSE
"65","4-2-1","10-2-6",120,30,0.25,82,33,0.828519111264619,0.20368828813691,FALSE,FALSE
"66","4-2-1","1-1-2",120,30,0.25,78,65,1.07030936190314,0.142240040909409,FALSE,FALSE
"67","4-2-1","6-2-5",120,30,0.25,71,82,-1.24752294195349,0.893897093248454,FALSE,FALSE
"68","4-2-1","3-2-1",120,30,0.25,88,21,0.291962378906215,0.385157694307788,FALSE,FALSE
"69","4-2-1","3-2-2",120,30,0.25,78,38,-0.400006920594826,0.655424290255224,FALSE,FALSE
"70","4-2-1","5-2-3",120,30,0.25,70,54,1.09357720857336,0.137070224821887,FALSE,FALSE
"71","4-2-1","10-1-6",120,30,0.25,79,24,-0.0312043239707148,0.51244670421744,FALSE,FALSE
"72","4-2-1","7-2-6",120,30,0.25,47,67,-1.78738034151476,0.963061981638083,FALSE,FALSE
"73","4-2-1","2-2-5",120,30,0.25,34,89,-0.158344633782033,0.56290738045815,FALSE,FALSE
"74","4-2-1","10-2-3",120,30,0.25,47,42,1.50399670180069,0.0662911079860186,FALSE,FALSE
"75","4-2-1","4-2-3",120,30,0.25,71,55,-1.75854825342719,0.960672865598528,FALSE,FALSE
"76","4-2-1","4-2-4",120,30,0.25,36,86,-0.342426546869924,0.633985043408082,FALSE,FALSE
"77","4-2-1","1-2-5",120,30,0.25,70,61,0.433728113735629,0.332242944349557,FALSE,FALSE
"78","4-2-1","1-1-6",120,30,0.25,50,53,-0.461901163725313,0.677923900276784,FALSE,FALSE
"79","4-2-1","1-1-1",120,30,0.25,78,67,1.03110487554037,0.151245820849695,FALSE,FALSE
"80","4-2-1","3-2-6",120,30,0.25,69,83,-0.886312417229403,0.812275400174063,FALSE,FALSE
"81","4-2-1","6-2-3",120,30,0.25,86,75,-0.121998856266084,0.548550037963725,FALSE,FALSE
"82","4-2-1","2-1-4",120,30,0.25,68,43,-1.52543416259271,0.936424578380388,FALSE,FALSE
