"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","sameland","signif"
"1","4-2-1","10-1-3",225,50,0.25,33,41,-0.309924531261411,0.621690826283006,FALSE,FALSE
"2","4-2-1","2-1-2",225,50,0.25,45,24,-0.680336051416609,0.751854148884454,FALSE,FALSE
"3","4-2-1","10-2-5",225,50,0.25,32,39,-0.47380641760905,0.682181021125334,FALSE,FALSE
"4","4-2-1","6-2-6",225,50,0.25,45,27,0.13376389132861,0.4467946405388,FALSE,FALSE
"5","4-2-1","5-2-2",225,50,0.25,35,40,-0.159298273216077,0.563283059418977,FALSE,FALSE
"6","4-2-1","7-1-1",225,50,0.25,26,38,0.382748505628952,0.350953122869452,FALSE,FALSE
"7","4-2-1","3-1-5",225,50,0.25,10,47,2.74852057851242,0.00299324384563071,FALSE,TRUE
"8","4-2-1","2-2-3",225,50,0.25,27,44,0.307956590291437,0.37905768199856,FALSE,FALSE
"9","4-2-1","8-1-4",225,50,0.25,25,47,0.79838805833591,0.212322665482779,FALSE,FALSE
"10","4-2-1","1-1-5",225,50,0.25,37,32,0.276753796889336,0.390984580299168,FALSE,FALSE
"11","4-2-1","7-2-2",225,50,0.25,30,48,-2.89630930581261,0.998112099785401,FALSE,FALSE
"12","4-2-1","4-1-3",225,50,0.25,50,10,0.694238585152651,0.243766299293976,TRUE,FALSE
"13","4-2-1","4-1-2",225,50,0.25,32,25,-0.289470384406205,0.613889279968658,FALSE,FALSE
"14","4-2-1","3-2-5",225,50,0.25,49,14,0.36371503919636,0.358035405901191,FALSE,FALSE
"15","4-2-1","2-1-3",225,50,0.25,9,44,0.0947558739358269,0.46225436830065,FALSE,FALSE
"16","4-2-1","1-1-3",225,50,0.25,32,38,-0.212210645451624,0.58402864899785,FALSE,FALSE
"17","4-2-1","8-2-5",225,50,0.25,14,45,-1.08686238377719,0.861451183660561,FALSE,FALSE
"18","4-2-1","5-1-2",225,50,0.25,25,39,3.39194311663814,0.000346994231092301,FALSE,TRUE
"19","4-2-1","6-1-6",225,50,0.25,24,35,-0.216024689946929,0.585515748937412,FALSE,FALSE
"20","4-2-1","1-1-4",225,50,0.25,48,13,-0.123282241893361,0.549058198763952,FALSE,FALSE
"21","4-2-1","3-1-1",225,50,0.25,38,43,-0.993680963329129,0.83981089324655,FALSE,FALSE
"22","4-2-1","6-2-4",225,50,0.25,30,39,1.22255961599098,0.110748036998657,FALSE,FALSE
"23","4-2-1","9-2-2",225,50,0.25,25,31,0.733436222652993,0.23164620662133,FALSE,FALSE
"24","4-2-1","4-1-4",225,50,0.25,30,39,0.0242091013067521,0.490342909232997,FALSE,FALSE
"25","4-2-1","7-2-3",225,50,0.25,19,51,-1.16880707241558,0.878759314862332,FALSE,FALSE
"26","4-2-1","10-1-1",225,50,0.25,36,31,1.0437155687678,0.148308502291361,FALSE,FALSE
"27","4-2-1","10-2-1",225,50,0.25,34,29,0.66191681821763,0.254012266341184,FALSE,FALSE
"28","4-2-1","1-2-1",225,50,0.25,29,38,0.784579685165435,0.216350022360048,FALSE,FALSE
"29","4-2-1","5-1-3",225,50,0.25,9,42,-0.12354155277685,0.5491608640329,FALSE,FALSE
"30","4-2-1","3-1-2",225,50,0.25,28,38,1.58285903075914,0.0567267992394193,FALSE,FALSE
"31","4-2-1","2-2-2",225,50,0.25,48,51,-1.54730949285095,0.939105683115947,FALSE,FALSE
"32","4-2-1","8-1-3",225,50,0.25,22,43,-0.887264409207882,0.81253171877936,FALSE,FALSE
"33","4-2-1","2-2-6",225,50,0.25,15,35,0.370479286817474,0.355512703539364,FALSE,FALSE
"34","4-2-1","10-2-2",225,50,0.25,23,28,1.45759457319219,0.0724761631788527,FALSE,FALSE
"35","4-2-1","7-1-6",225,50,0.25,30,48,-2.3314262851754,0.990134553572537,FALSE,FALSE
"36","4-2-1","8-1-6",225,50,0.25,48,15,0.46798548766673,0.319897483909046,FALSE,FALSE
"37","4-2-1","7-2-5",225,50,0.25,19,25,-1.07807495752155,0.859499846866696,FALSE,FALSE
"38","4-2-1","8-2-2",225,50,0.25,45,38,1.04197614450346,0.14871136957728,FALSE,FALSE
"39","4-2-1","6-1-5",225,50,0.25,20,45,1.33605782249516,0.0907651872382338,FALSE,FALSE
"40","4-2-1","6-1-1",225,50,0.25,17,48,-0.313467752863929,0.623037341753386,FALSE,FALSE
"41","4-2-1","7-1-5",225,50,0.25,42,9,0.914207490548692,0.180303914471496,FALSE,FALSE
"42","4-2-1","3-2-3",225,50,0.25,23,38,0.357149711520343,0.360489865402505,FALSE,FALSE
"43","4-2-1","6-2-1",225,50,0.25,46,41,0.340124905462561,0.366881233414374,FALSE,FALSE
"44","4-2-1","9-2-5",225,50,0.25,21,40,-0.546459066647025,0.707624791177555,FALSE,FALSE
"45","4-2-1","9-1-3",225,50,0.25,31,36,0.691618750388303,0.244588391676749,FALSE,FALSE
"46","4-2-1","7-1-3",225,50,0.25,11,40,-0.343521459310758,0.634396900125525,FALSE,FALSE
"47","4-2-1","9-2-1",225,50,0.25,43,10,-0.932058930609647,0.824346964474145,FALSE,FALSE
"48","4-2-1","3-2-4",225,50,0.25,10,50,-0.41654315109159,0.661493700742667,FALSE,FALSE
"49","4-2-1","5-2-5",225,50,0.25,24,32,0.281463125876322,0.38917760330437,FALSE,FALSE
"50","4-2-1","9-1-1",225,50,0.25,35,43,-0.437016751426988,0.668950400219969,FALSE,FALSE
"51","4-2-1","5-2-4",225,50,0.25,13,51,-0.709195727484068,0.760898487757825,FALSE,FALSE
"52","4-2-1","5-1-5",225,50,0.25,32,37,0.589605915112065,0.277727442564966,FALSE,FALSE
"53","4-2-1","9-1-4",225,50,0.25,37,24,-0.324796227446621,0.62733235002496,FALSE,FALSE
"54","4-2-1","8-2-3",225,50,0.25,10,44,0.155876619995293,0.43806513728084,FALSE,FALSE
"55","4-2-1","8-1-1",225,50,0.25,45,50,-0.499388514974953,0.69124714569839,FALSE,FALSE
"56","4-2-1","10-2-4",225,50,0.25,42,41,0.564710802998957,0.286135242538026,FALSE,FALSE
"57","4-2-1","10-1-2",225,50,0.25,27,46,-0.34279558509553,0.634123876234492,FALSE,FALSE
"58","4-2-1","7-1-2",225,50,0.25,42,40,-0.751418623914052,0.77379962105925,FALSE,FALSE
"59","4-2-1","6-2-2",225,50,0.25,44,11,-0.168330927231373,0.566838527709955,FALSE,FALSE
"60","4-2-1","9-1-2",225,50,0.25,37,32,0.481310951111889,0.315147757499106,FALSE,FALSE
"61","4-2-1","5-1-4",225,50,0.25,47,42,-1.35606259998423,0.912460374370817,FALSE,FALSE
"62","4-2-1","4-2-5",225,50,0.25,41,43,-0.90828270831771,0.818135562039029,FALSE,FALSE
"63","4-2-1","5-1-1",225,50,0.25,35,40,-0.371695970837514,0.644940387384524,FALSE,FALSE
"64","4-2-1","4-1-1",225,50,0.25,20,37,-0.451465460962134,0.674172943542365,FALSE,FALSE
"65","4-2-1","10-2-6",225,50,0.25,39,41,1.40051213123161,0.0806800066083663,FALSE,FALSE
