"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","sameland","signif"
"1","4-2-1","10-1-3",120,50,0.25,49,20,0.780334084094008,0.217597127767941,FALSE,FALSE
"2","4-2-1","2-1-2",120,50,0.25,44,51,-0.738888274607834,0.770012578557708,FALSE,FALSE
"3","4-2-1","10-2-5",120,50,0.25,35,18,-2.46033794154301,0.993059687783025,FALSE,FALSE
"4","4-2-1","6-2-6",120,50,0.25,52,22,-1.679327204609,0.953455854075303,FALSE,FALSE
"5","4-2-1","5-2-2",120,50,0.25,50,17,-1.58496395121264,0.943512737521608,FALSE,FALSE
"6","4-2-1","7-1-1",120,50,0.25,35,30,-0.973768508540458,0.834914253715081,FALSE,FALSE
"7","4-2-1","3-1-5",120,50,0.25,47,40,0.102200167684116,0.459298897330502,FALSE,FALSE
"8","4-2-1","2-2-3",120,50,0.25,29,46,0.184950212003302,0.426634043407548,FALSE,FALSE
"9","4-2-1","8-1-4",120,50,0.25,10,51,-0.31169488316261,0.622363791491267,FALSE,FALSE
"10","4-2-1","1-1-5",120,50,0.25,40,35,-0.23363746738358,0.592366781069911,FALSE,FALSE
"11","4-2-1","7-2-2",120,50,0.25,14,52,1.34891934587393,0.0886814367955863,FALSE,FALSE
"12","4-2-1","4-1-3",120,50,0.25,20,52,-0.502889438290727,0.692478996414308,TRUE,FALSE
"13","4-2-1","4-1-2",120,50,0.25,48,19,-0.278207442037329,0.609573438813826,FALSE,FALSE
"14","4-2-1","3-2-5",120,50,0.25,37,42,-2.62319987918908,0.995644592383121,FALSE,FALSE
"15","4-2-1","2-1-3",120,50,0.25,48,40,-0.243020552143322,0.596005261837165,FALSE,FALSE
"16","4-2-1","1-1-3",120,50,0.25,11,52,-0.108631023656685,0.543252423479992,FALSE,FALSE
"17","4-2-1","8-2-5",120,50,0.25,9,47,-2.33130611024572,0.990131387867712,FALSE,FALSE
"18","4-2-1","5-1-2",120,50,0.25,50,25,0.651863724860859,0.257244543987096,FALSE,FALSE
"19","4-2-1","6-1-6",120,50,0.25,27,37,-0.333056017700192,0.63045400071366,FALSE,FALSE
"20","4-2-1","1-1-4",120,50,0.25,32,39,0.439137655344973,0.330280897955041,FALSE,FALSE
"21","4-2-1","3-1-1",120,50,0.25,30,44,-1.77255166185344,0.961848486221222,FALSE,FALSE
"22","4-2-1","6-2-4",120,50,0.25,11,52,0.235367217922818,0.406961863865251,FALSE,FALSE
"23","4-2-1","9-2-2",120,50,0.25,48,39,1.39971692109778,0.0807990523196656,FALSE,FALSE
"24","4-2-1","4-1-4",120,50,0.25,15,48,0.919833544724261,0.178829875427857,FALSE,FALSE
"25","4-2-1","7-2-3",120,50,0.25,53,47,-0.051796967670203,0.520654764120736,FALSE,FALSE
"26","4-2-1","10-1-1",120,50,0.25,30,35,0.986927542439653,0.161839080453508,FALSE,FALSE
"27","4-2-1","10-2-1",120,50,0.25,20,53,0.729749560612178,0.232771640438648,FALSE,FALSE
"28","4-2-1","1-2-1",120,50,0.25,25,38,0.407414828038037,0.341851669067773,FALSE,FALSE
"29","4-2-1","5-1-3",120,50,0.25,52,43,1.27854264223541,0.100529079657994,FALSE,FALSE
"30","4-2-1","3-1-2",120,50,0.25,31,45,0.850852025390114,0.197425778715588,FALSE,FALSE
"31","4-2-1","2-2-2",120,50,0.25,46,39,-0.123469080457589,0.549132171429433,FALSE,FALSE
"32","4-2-1","8-1-3",120,50,0.25,27,44,-0.0355334527259351,0.514172814103728,FALSE,FALSE
"33","4-2-1","2-2-6",120,50,0.25,44,35,0.473725220371034,0.317847933086298,FALSE,FALSE
"34","4-2-1","10-2-2",120,50,0.25,26,42,-0.79505158537756,0.78670825217223,FALSE,FALSE
"35","4-2-1","7-1-6",120,50,0.25,44,10,-0.75711501140571,0.775509519313617,FALSE,FALSE
"36","4-2-1","8-1-6",120,50,0.25,53,49,0.117212541975406,0.453345814185403,FALSE,FALSE
"37","4-2-1","7-2-5",120,50,0.25,22,28,0.293161164372789,0.38469948346712,FALSE,FALSE
"38","4-2-1","8-2-2",120,50,0.25,33,38,0.0691714463866075,0.472426575567863,FALSE,FALSE
"39","4-2-1","6-1-5",120,50,0.25,37,44,0.189621026041705,0.424803054867369,FALSE,FALSE
"40","4-2-1","6-1-1",120,50,0.25,32,25,-1.70465893039209,0.955870973157111,FALSE,FALSE
"41","4-2-1","7-1-5",120,50,0.25,9,44,1.27920429813366,0.100412561347573,FALSE,FALSE
"42","4-2-1","3-2-3",120,50,0.25,30,46,0.967045948035898,0.166760532244964,FALSE,FALSE
"43","4-2-1","6-2-1",120,50,0.25,51,53,0.432408871882189,0.332722135579544,FALSE,FALSE
"44","4-2-1","9-2-5",120,50,0.25,30,36,-1.39080133671526,0.917857161169152,FALSE,FALSE
"45","4-2-1","9-1-3",120,50,0.25,49,53,-0.914257827408167,0.819709307611564,FALSE,FALSE
"46","4-2-1","7-1-3",120,50,0.25,41,40,-0.784042970085892,0.783492551450751,FALSE,FALSE
"47","4-2-1","9-2-1",120,50,0.25,38,37,0.953748078462034,0.170105588540455,FALSE,FALSE
"48","4-2-1","3-2-4",120,50,0.25,13,53,0.459503126518797,0.322936453691758,FALSE,FALSE
"49","4-2-1","5-2-5",120,50,0.25,26,40,0.118107930946522,0.452991069726324,FALSE,FALSE
"50","4-2-1","9-1-1",120,50,0.25,27,34,-1.10353733273488,0.865103055772927,FALSE,FALSE
"51","4-2-1","5-2-4",120,50,0.25,38,33,2.14431483798483,0.0160038343509037,FALSE,TRUE
"52","4-2-1","5-1-5",120,50,0.25,39,29,-0.365811025710475,0.642746954014177,FALSE,FALSE
"53","4-2-1","9-1-4",120,50,0.25,41,34,0.744990063064461,0.228138863541318,FALSE,FALSE
"54","4-2-1","8-2-3",120,50,0.25,9,51,-1.62513341274987,0.947932932607448,FALSE,FALSE
"55","4-2-1","8-1-1",120,50,0.25,39,29,1.10983345088432,0.133535400926057,FALSE,FALSE
"56","4-2-1","10-2-4",120,50,0.25,44,30,-0.781684273239716,0.782799926806419,FALSE,FALSE
"57","4-2-1","10-1-2",120,50,0.25,25,32,0.0321633760451338,0.487170881370277,FALSE,FALSE
"58","4-2-1","7-1-2",120,50,0.25,44,43,-1.63000880211846,0.948450181665617,FALSE,FALSE
"59","4-2-1","6-2-2",120,50,0.25,17,50,1.13829229223454,0.127499225709231,FALSE,FALSE
"60","4-2-1","9-1-2",120,50,0.25,38,33,0,0.5,FALSE,FALSE
"61","4-2-1","5-1-4",120,50,0.25,26,42,0.328116527298675,0.371411779084042,FALSE,FALSE
"62","4-2-1","4-2-5",120,50,0.25,52,48,1.37296897009394,0.0848809967047843,FALSE,FALSE
"63","4-2-1","5-1-1",120,50,0.25,46,39,1.36697910506616,0.0858159274934245,FALSE,FALSE
"64","4-2-1","4-1-1",120,50,0.25,31,32,0.233718839565282,0.407601630459688,FALSE,FALSE
"65","4-2-1","10-2-6",120,50,0.25,48,19,0.514683767769058,0.303387009086297,FALSE,FALSE
"66","4-2-1","1-1-2",120,50,0.25,46,39,0.899560443333862,0.184177108026054,FALSE,FALSE
"67","4-2-1","6-2-5",120,50,0.25,42,49,-0.485628156672807,0.686384585290057,FALSE,FALSE
"68","4-2-1","3-2-1",120,50,0.25,52,12,0.705221439057626,0.240336220689993,FALSE,FALSE
"69","4-2-1","3-2-2",120,50,0.25,46,22,0.812769711470493,0.208175052109824,FALSE,FALSE
"70","4-2-1","5-2-3",120,50,0.25,42,32,0.196396101212393,0.422150073811016,FALSE,FALSE
"71","4-2-1","10-1-6",120,50,0.25,47,14,-0.188657691809505,0.57481944345736,FALSE,FALSE
"72","4-2-1","7-2-6",120,50,0.25,28,39,-3.06366933799005,0.998906797871397,FALSE,FALSE
"73","4-2-1","2-2-5",120,50,0.25,20,53,0.210266822549272,0.416729714103346,FALSE,FALSE
"74","4-2-1","10-2-3",120,50,0.25,28,25,0.409800570932384,0.34097612368734,FALSE,FALSE
"75","4-2-1","4-2-3",120,50,0.25,42,32,-0.458257569495584,0.676616297997266,FALSE,FALSE
"76","4-2-1","4-2-4",120,50,0.25,22,52,0.118262479197817,0.452929842990857,FALSE,FALSE
"77","4-2-1","1-2-5",120,50,0.25,42,37,-0.0491235932432412,0.519589599293455,FALSE,FALSE
"78","4-2-1","1-1-6",120,50,0.25,29,32,-0.664321979910505,0.746757871932769,FALSE,FALSE
"79","4-2-1","1-1-1",120,50,0.25,46,39,0.582068522157205,0.280260263432303,FALSE,FALSE
"80","4-2-1","3-2-6",120,50,0.25,41,49,-0.133679219956702,0.553171881133679,FALSE,FALSE
"81","4-2-1","6-2-3",120,50,0.25,52,45,0.723385262202619,0.234721611569959,FALSE,FALSE
"82","4-2-1","2-1-4",120,50,0.25,40,25,-1.24052774693237,0.892609871075509,FALSE,FALSE
"83","4-2-1","9-1-5",120,50,0.25,35,44,-0.266470436458706,0.605061537580665,FALSE,FALSE
"84","4-2-1","2-2-1",120,50,0.25,32,39,0.76271276980969,0.222817356603472,FALSE,FALSE
"85","4-2-1","7-2-4",120,50,0.25,24,42,-0.866435647958933,0.806874348970064,FALSE,FALSE
"86","4-2-1","9-2-4",120,50,0.25,24,49,-1.20950683517513,0.886765906643769,FALSE,FALSE
"87","4-2-1","6-1-3",120,50,0.25,33,40,-0.620691537930062,0.732598700913283,FALSE,FALSE
"88","4-2-1","3-1-6",120,50,0.25,31,24,-1.2728329374415,0.898461334718489,FALSE,FALSE
"89","4-2-1","10-1-4",120,50,0.25,48,43,-1.56605888934415,0.941332584361102,FALSE,FALSE
"90","4-2-1","6-1-4",120,50,0.25,41,45,-1.47420267461388,0.929786485018801,FALSE,FALSE
"91","4-2-1","7-2-1",120,50,0.25,49,51,-0.41026434366536,0.659193977381662,FALSE,FALSE
"92","4-2-1","7-1-4",120,50,0.25,33,26,0.610704816552459,0.270697508389696,FALSE,FALSE
"93","4-2-1","10-1-5",120,50,0.25,51,19,-1.16880707241558,0.878759314862332,FALSE,FALSE
"94","4-2-1","8-2-4",120,50,0.25,47,14,-0.154356293298686,0.561335593264401,FALSE,FALSE
"95","4-2-1","2-2-4",120,50,0.25,18,49,-1.98029508595335,0.976164809671919,FALSE,FALSE
"96","4-2-1","2-1-1",120,50,0.25,27,40,0.115044748327106,0.454204826725083,FALSE,FALSE
"97","4-2-1","5-2-1",120,50,0.25,37,29,0.14857686863682,0.440943763272942,FALSE,FALSE
"98","4-2-1","4-1-6",120,50,0.25,37,30,0.617832510579344,0.26834287529499,FALSE,FALSE
"99","4-2-1","9-1-6",120,50,0.25,51,18,1.06589608019802,0.143235310566165,FALSE,FALSE
"100","4-2-1","2-1-6",120,50,0.25,49,52,1.33861920497765,0.0903473353831195,FALSE,FALSE
"101","4-2-1","2-1-5",120,50,0.25,37,30,-0.907835525749241,0.818017437116836,FALSE,FALSE
"102","4-2-1","8-2-1",120,50,0.25,26,41,-0.102931322151192,0.54099126087935,FALSE,FALSE
"103","4-2-1","6-1-2",120,50,0.25,28,46,-0.858208447366044,0.80461131382488,FALSE,FALSE
"104","4-2-1","3-1-3",120,50,0.25,25,36,0.527929614076872,0.298774094783492,FALSE,FALSE
"105","4-2-1","8-2-6",120,50,0.25,50,53,0.593872924789688,0.276298554627744,FALSE,FALSE
"106","4-2-1","3-1-4",120,50,0.25,51,49,0.141351580590586,0.44379610160507,FALSE,FALSE
"107","4-2-1","1-2-2",120,50,0.25,41,34,-0.32992417078569,0.629271370253768,FALSE,FALSE
"108","4-2-1","4-2-6",120,50,0.25,39,32,1.25963169559479,0.103901128030389,FALSE,FALSE
"109","4-2-1","4-1-5",120,50,0.25,16,42,1.44396967632638,0.0743737526783382,FALSE,FALSE
"110","4-2-1","8-1-5",120,50,0.25,52,11,-1.41220330753691,0.921054946547603,FALSE,FALSE
"111","4-2-1","4-2-2",120,50,0.25,39,32,-2.12635075219671,0.983262967445433,FALSE,FALSE
"112","4-2-1","1-2-3",120,50,0.25,42,49,0.541355977930343,0.294131121899524,FALSE,FALSE
"113","4-2-1","5-2-6",120,50,0.25,42,45,-0.0254823595718813,0.510164890529334,FALSE,FALSE
"114","4-2-1","9-2-6",120,50,0.25,50,51,-0.679235610811324,0.751505706469248,FALSE,FALSE
"115","4-2-1","8-1-2",120,50,0.25,27,48,-0.84990826245007,0.802311954230676,FALSE,FALSE
"116","4-2-1","1-2-6",120,50,0.25,53,33,0.777041376379194,0.218567179611703,FALSE,FALSE
"117","4-2-1","1-2-4",120,50,0.25,25,42,0.129640744710433,0.448425332815984,FALSE,FALSE
"118","4-2-1","5-1-6",120,50,0.25,32,44,-0.336661854462746,0.631814088964168,FALSE,FALSE
"119","10-1-3","2-1-2",120,50,0.25,39,33,2.53720912613819,0.00558700911477994,FALSE,TRUE
"120","10-1-3","10-2-5",120,50,0.25,36,46,-1.37353188445384,0.915206471960063,FALSE,FALSE
"121","10-1-3","6-2-6",120,50,0.25,51,27,-0.246818648270122,0.59747571116374,FALSE,FALSE
"122","10-1-3","5-2-2",120,50,0.25,43,45,0.187818190947514,0.425509587611486,FALSE,FALSE
"123","10-1-3","7-1-1",120,50,0.25,31,31,1.0206965833619,0.153699106882047,FALSE,FALSE
"124","10-1-3","3-1-5",120,50,0.25,40,38,0.409863401628726,0.340953076952878,FALSE,FALSE
"125","10-1-3","2-2-3",120,50,0.25,51,32,-0.130984207998896,0.552106100020864,FALSE,FALSE
"126","10-1-3","8-1-4",120,50,0.25,20,44,-1.46289778524336,0.928252324931721,FALSE,FALSE
"127","10-1-3","1-1-5",120,50,0.25,41,28,-0.366599538329272,0.643041123681288,FALSE,FALSE
"128","10-1-3","7-2-2",120,50,0.25,32,54,0.214422506967559,0.415108795888932,FALSE,FALSE
"129","10-1-3","4-1-3",120,50,0.25,19,49,-0.23918243661747,0.594517939489671,FALSE,FALSE
"130","10-1-3","4-1-2",120,50,0.25,52,12,-0.258007843557668,0.601799573081811,FALSE,FALSE
"131","10-1-3","3-2-5",120,50,0.25,48,48,-0.72543534742868,0.76590750268378,FALSE,FALSE
"132","10-1-3","2-1-3",120,50,0.25,51,21,0.922976684355243,0.178009677920477,FALSE,FALSE
"133","10-1-3","1-1-3",120,50,0.25,50,36,1.06795898725908,0.142769506180903,FALSE,FALSE
"134","10-1-3","8-2-5",120,50,0.25,31,43,0.476578201028356,0.316831254605269,FALSE,FALSE
"135","10-1-3","5-1-2",120,50,0.25,35,49,0.884613807298867,0.188182478610646,FALSE,FALSE
"136","10-1-3","6-1-6",120,50,0.25,34,33,-2.08184228911949,0.981321561205818,FALSE,FALSE
"137","10-1-3","1-1-4",120,50,0.25,12,46,0.0383906154093769,0.484688121643068,FALSE,FALSE
"138","10-1-3","3-1-1",120,50,0.25,29,53,-0.78074735831332,0.782524449607768,FALSE,FALSE
"139","10-1-3","6-2-4",120,50,0.25,51,51,-0.612382721705348,0.729857714626548,FALSE,FALSE
"140","10-1-3","9-2-2",120,50,0.25,52,27,-0.620173672946042,0.732428273801125,FALSE,FALSE
"141","10-1-3","4-1-4",120,50,0.25,48,24,-0.501709406695871,0.692064026691327,FALSE,FALSE
"142","10-1-3","7-2-3",120,50,0.25,36,44,0.222432560387836,0.411988583548005,FALSE,FALSE
"143","10-1-3","10-1-1",120,50,0.25,24,47,-0.474061222368157,0.682271874999109,FALSE,FALSE
"144","10-1-3","10-2-1",120,50,0.25,46,30,-0.371940749244576,0.645031517685254,FALSE,FALSE
"145","10-1-3","1-2-1",120,50,0.25,26,31,-0.945281409746622,0.827742386639915,FALSE,FALSE
"146","10-1-3","5-1-3",120,50,0.25,39,19,-0.488739600156498,0.687486967909054,FALSE,FALSE
"147","10-1-3","3-1-2",120,50,0.25,26,41,0.27019472064688,0.393505227009125,FALSE,FALSE
"148","10-1-3","2-2-2",120,50,0.25,48,39,-0.699858460548892,0.757992149337238,FALSE,FALSE
"149","10-1-3","8-1-3",120,50,0.25,15,55,1.05201471243783,0.146396399816479,FALSE,FALSE
"150","10-1-3","2-2-6",120,50,0.25,40,31,-0.997038625884362,0.840627119219996,FALSE,FALSE
"151","10-1-3","10-2-2",120,50,0.25,29,52,-0.768382789381479,0.778870098908994,FALSE,FALSE
