"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","sameland","signif"
"1","4-2-1","10-1-3",150,50,0.25,8,46,-2.19143139100953,0.985789705215362,FALSE,FALSE
"2","4-2-1","2-1-2",150,50,0.25,44,51,-1.70168208697562,0.955592509922167,FALSE,FALSE
"3","4-2-1","10-2-5",150,50,0.25,23,48,0.688062462056187,0.245706723976169,FALSE,FALSE
"4","4-2-1","6-2-6",150,50,0.25,9,49,0.139591405200525,0.444491415893283,FALSE,FALSE
"5","4-2-1","5-2-2",150,50,0.25,22,53,0.535294009687947,0.296223283980379,FALSE,FALSE
"6","4-2-1","7-1-1",150,50,0.25,28,40,0.635517102506014,0.262545608034104,FALSE,FALSE
"7","4-2-1","3-1-5",150,50,0.25,44,45,-0.172328087371066,0.568410197938559,FALSE,FALSE
"8","4-2-1","2-2-3",150,50,0.25,28,44,-0.693066790599569,0.755866181319327,FALSE,FALSE
"9","4-2-1","8-1-4",150,50,0.25,37,29,0.381131967372711,0.35155266393072,FALSE,FALSE
"10","4-2-1","1-1-5",150,50,0.25,40,35,0.318596546432155,0.375016236315259,FALSE,FALSE
"11","4-2-1","7-2-2",150,50,0.25,45,39,-0.0134534558799262,0.505366990467365,FALSE,FALSE
"12","4-2-1","4-1-3",150,50,0.25,19,51,1.56501285967509,0.0587899470303953,TRUE,FALSE
"13","4-2-1","4-1-2",150,50,0.25,49,51,0.0448187938457956,0.4821258724109,FALSE,FALSE
"14","4-2-1","3-2-5",150,50,0.25,36,42,0.420969345526985,0.336888733230549,FALSE,FALSE
"15","4-2-1","2-1-3",150,50,0.25,46,14,1.45064406061996,0.0734394997981144,FALSE,FALSE
"16","4-2-1","1-1-3",150,50,0.25,45,13,-0.251721582088582,0.599371863025824,FALSE,FALSE
"17","4-2-1","8-2-5",150,50,0.25,27,36,-0.0416666666666667,0.516617786490363,FALSE,FALSE
"18","4-2-1","5-1-2",150,50,0.25,42,31,-0.0892810435943616,0.535570720539959,FALSE,FALSE
"19","4-2-1","6-1-6",150,50,0.25,27,37,-0.224303032328701,0.58873924156858,FALSE,FALSE
"20","4-2-1","1-1-4",150,50,0.25,49,15,1.73541918533322,0.0413332921603413,FALSE,TRUE
"21","4-2-1","3-1-1",150,50,0.25,49,16,2.07109267316879,0.0191750682166001,FALSE,TRUE
"22","4-2-1","6-2-4",150,50,0.25,42,32,0.130930734141595,0.447915050814946,FALSE,FALSE
"23","4-2-1","9-2-2",150,50,0.25,47,37,1.90564386425189,0.028348213506786,FALSE,TRUE
"24","4-2-1","4-1-4",150,50,0.25,14,48,-0.117851130197758,0.546907192122536,FALSE,FALSE
"25","4-2-1","7-2-3",150,50,0.25,20,52,-1.55895725870125,0.940496751672536,FALSE,FALSE
"26","4-2-1","10-1-1",150,50,0.25,30,35,2.17124059336724,0.014956495160388,FALSE,TRUE
"27","4-2-1","10-2-1",150,50,0.25,43,11,-0.39732915743798,0.654437625624813,FALSE,FALSE
"28","4-2-1","1-2-1",150,50,0.25,42,36,-0.781800213121543,0.782834002106902,FALSE,FALSE
"29","4-2-1","5-1-3",150,50,0.25,14,44,-0.763173974030761,0.777320176014341,FALSE,FALSE
"30","4-2-1","3-1-2",150,50,0.25,9,47,1.70664992759615,0.043943569635715,FALSE,TRUE
"31","4-2-1","2-2-2",150,50,0.25,48,52,-1.53855316749221,0.938043290371786,FALSE,FALSE
"32","4-2-1","8-1-3",150,50,0.25,26,42,0.479554924513449,0.315771952228083,FALSE,FALSE
"33","4-2-1","2-2-6",150,50,0.25,49,43,-1.56120445164461,0.940762240502142,FALSE,FALSE
"34","4-2-1","10-2-2",150,50,0.25,26,42,-0.618373455293658,0.731835404267225,FALSE,FALSE
"35","4-2-1","7-1-6",150,50,0.25,44,10,0.0222680885707562,0.491117052099393,FALSE,FALSE
"36","4-2-1","8-1-6",150,50,0.25,32,42,-0.57827740912538,0.718461578046948,FALSE,FALSE
"37","4-2-1","7-2-5",150,50,0.25,21,27,-0.0103913281064758,0.504145465526709,FALSE,FALSE
"38","4-2-1","8-2-2",150,50,0.25,36,39,-0.0424189841983852,0.516917652616283,FALSE,FALSE
"39","4-2-1","6-1-5",150,50,0.25,36,44,-0.58025885318566,0.719129964651495,FALSE,FALSE
"40","4-2-1","6-1-1",150,50,0.25,47,43,-0.205980899595438,0.581597084350854,FALSE,FALSE
"41","4-2-1","7-1-5",150,50,0.25,37,31,-1.11437907316095,0.867441701431174,FALSE,FALSE
"42","4-2-1","3-2-3",150,50,0.25,32,49,-0.135250445200115,0.553793068015759,FALSE,FALSE
"43","4-2-1","6-2-1",150,50,0.25,49,52,1.01925320175963,0.154041387545548,FALSE,FALSE
"44","4-2-1","9-2-5",150,50,0.25,49,25,-2.68,0.996318891990825,FALSE,FALSE
"45","4-2-1","9-1-3",150,50,0.25,47,51,1.57511671153604,0.057614753657408,FALSE,FALSE
"46","4-2-1","7-1-3",150,50,0.25,35,41,-1.43292021010301,0.924059679540914,FALSE,FALSE
"47","4-2-1","9-2-1",150,50,0.25,38,37,0.752401261897827,0.22590489397933,FALSE,FALSE
"48","4-2-1","3-2-4",150,50,0.25,46,26,-1.45373513958006,0.926990124060256,FALSE,FALSE
"49","4-2-1","5-2-5",150,50,0.25,24,50,-1.24707658144959,0.893815290564531,FALSE,FALSE
"50","4-2-1","9-1-1",150,50,0.25,37,43,-0.0337738887201372,0.513471271077083,FALSE,FALSE
"51","4-2-1","5-2-4",150,50,0.25,38,33,0.415028678319645,0.339060454614966,FALSE,FALSE
"52","4-2-1","5-1-5",150,50,0.25,33,39,0.152571595558421,0.439368063082082,FALSE,FALSE
"53","4-2-1","9-1-4",150,50,0.25,41,33,-0.831902689175366,0.797268063083758,FALSE,FALSE
"54","4-2-1","8-2-3",150,50,0.25,9,51,-1.95637079624029,0.974789255095146,FALSE,FALSE
"55","4-2-1","8-1-1",150,50,0.25,38,29,1.12625148354393,0.130029543644844,FALSE,FALSE
"56","4-2-1","10-2-4",150,50,0.25,43,30,-0.751198497671444,0.773733397889299,FALSE,FALSE
"57","4-2-1","10-1-2",150,50,0.25,24,30,1.21854359168988,0.111508734973307,FALSE,FALSE
"58","4-2-1","7-1-2",150,50,0.25,43,42,-0.817458046275771,0.793166642311798,FALSE,FALSE
"59","4-2-1","6-2-2",150,50,0.25,20,49,-0.555492059863531,0.710720930175331,FALSE,FALSE
"60","4-2-1","9-1-2",150,50,0.25,38,32,1.28505335301261,0.0993868203140179,FALSE,FALSE
"61","4-2-1","5-1-4",150,50,0.25,40,47,0.613201006104698,0.269871719804557,FALSE,FALSE
"62","4-2-1","4-2-5",150,50,0.25,52,48,0.255275637655658,0.399255107537272,FALSE,FALSE
"63","4-2-1","5-1-1",150,50,0.25,36,42,-0.430992425182389,0.666763060874219,FALSE,FALSE
"64","4-2-1","4-1-1",150,50,0.25,29,47,0.433064272019989,0.332484038871272,FALSE,FALSE
"65","4-2-1","10-2-6",150,50,0.25,41,44,0.0175894850998388,0.492983172527741,FALSE,FALSE
"66","4-2-1","1-1-2",150,50,0.25,46,38,0.700979066474515,0.241658039651432,FALSE,FALSE
"67","4-2-1","6-2-5",150,50,0.25,35,37,-0.0394332301133374,0.515727506647321,FALSE,FALSE
