"land_id","profile_id","run_id","length","first_num","last_num"
214,107914,3,1168,1,1168
215,108310,3,1249,1,1249
216,108802,3,1241,1,1241
217,109246,3,1229,1,1229
218,109753,3,1242,1,1242
219,110260,3,1250,1,1250
220,110783,3,1233,1,1233
221,111290,3,1236,1,1236
222,111797,3,1189,1,1189
223,112384,3,1226,1,1226
224,112859,3,1153,1,1153
225,113334,3,1338,1,1338
226,113809,3,1233,1,1233
227,114316,3,1245,1,1245
228,114822,3,1235,1,1235
229,115441,3,1241,1,1241
231,116407,3,1261,1,1261
232,116931,3,1249,1,1249
233,117487,3,1227,1,1227
234,117931,3,1233,1,1233
235,118466,3,1237,1,1237
236,118973,3,1243,1,1243
237,119481,3,1247,1,1247
238,120085,3,1235,1,1235
239,120450,3,1233,1,1233
240,121006,3,1239,1,1239
241,121449,3,1242,1,1242
242,121940,3,1224,1,1224
243,122462,3,1247,1,1247
244,122953,3,1305,1,1305
245,123492,3,1239,1,1239
246,123983,3,1241,1,1241
247,124474,3,1111,1,1111
248,124997,3,1213,1,1213
249,125648,3,1253,1,1253
250,125980,3,1233,1,1233
251,126519,3,1188,1,1188
252,127058,3,1250,1,1250
253,127549,3,1309,1,1309
254,128008,3,1273,1,1273
255,128547,3,1269,1,1269
256,129086,3,1231,1,1231
257,129545,3,1279,1,1279
258,130084,3,1296,1,1296
259,130655,3,1430,1,1430
260,131114,3,1312,1,1312
261,131605,3,1211,1,1211
262,132160,3,1247,1,1247
263,132587,3,1253,1,1253
264,133286,3,1204,1,1204
265,133713,3,1300,1,1300
266,134108,3,1238,1,1238
267,134647,3,1239,1,1239
268,135138,3,1228,1,1228
269,135630,3,1176,1,1176
270,136153,3,1301,1,1301
271,136676,3,1193,1,1193
272,137231,3,1181,1,1181
273,137722,3,1238,1,1238
274,138181,3,1236,1,1236
275,138704,3,1229,1,1229
276,139227,3,1238,1,1238
277,139718,3,1235,1,1235
278,140225,3,1287,1,1287
279,140764,3,1237,1,1237
280,141223,3,1236,1,1236
